AAPL
MSFT
V
INTC
MA
CSCO
ADBE
CRM
NVDA
ACN
PYPL
AVGO
ORCL
IBM
TXN
QCOM
FIS
ADP
INTU
FISV
MU
GPN
NOW
AMAT
AMD
LRCX
ADSK
ADI
CTSH
TEL
HPQ
APH
WDAY
MSI
PAYX
KLAC
FLT
MCHP
XLNX
SQ
SPLK
ANSS
PANW
SNPS
GLW
VRSN
SWKS
CDNS
WDC
CDW
KEYS
HPE
NLOK
MRVL
FTNT
MXIM
CTXS
PAYC
AKAM
STX
BR
SSNC
IT
NTAP
RNG
TWLO
LDOS
OKTA
ZBRA
QRVO
ANET
GDDY
EPAM
VMW
TER
FICO
TYL
JKHY
WU
TRMB
BAH
TTD
ON
WEX
BKI
CGNX
AZPN
COUP
ZEN
PTC
GWRE
DXC
EEFT
OLED
CY
JNPR
FFIV
DELL
DOCU
ENTG
HUBS
MPWR
FLIR
PFPT
XRX
FLEX
ARW
CIEN
CDK
CACI
AYX
MDB
SABR
MKSI
SNX
LITE
JBL
PLAN
NATI
NUAN
MLNX
CREE
NTNX
MANH
IPGP
TECD
SLAB
PCTY
CRUS
SEDG
MMS
SAIC
RP
JCOM
LFUS
ADS
CCMP
DLB
PSTG
AVT
FIVN
LOGM
ACIW
NCR
DBX
SMAR
FSLR
PRSP
COHR
KBR
BLKB
ENV
VRNT
QTWO
CLGX
ZS
VIAV
SMTC
PEGA
FEYE
IPHI
NOVT
NEWR
IIVI
ZM
CSOD
AXE
CDAY
TDC
ITRI
POWI
BRKS
QLYS
AEIS
VSH
EVBG
ENPH
RAMP
VSAT
COMM
LSCC
RPD
VRNS
LPSN
FN
CLDR
EXLS
NSIT
DIOD
MIME
EPAY
UI
SANM
ROG
PLXS
SYNA
BL
PRO
BDC
BOX
ACIA
AVYA
MANT
SPSC
EVTC
PRGS
SATS
SAIL
FORM
CVLT
ONTO
NTCT
EGHT
APPF
KN
IDCC
BMI
ESTC
CATM
KLIC
AMBA
OSIS
VRRM
CSGS
ALRM
RMBS
PRFT
TTMI
FIT
EGOV
INST
PS
MXL
KEM
WK
MEI
SYKE
AMKR
MTSI
DDD
BHE
ALTR
INFN
TWOU
VRTU
PLUS
ZUO
MSTR
EVOP
APPN
PLT
FSCT
MTSC
COHU
AVX
TIVO
UCTT
PLAB
CTS
EXTR
FARO
YEXT
SCSC
CMTL
SWCH
CNDT
XPER
EBIX
NTGR
UPLD
ACLS
CISN
ICHR
MODN
TENB
SPWR
DBD
HLIT
VECO
CASS
TTEC
CEVA
UIS
LLNW
OSPN
CNXN
TCX
LASR
PI
QADA
CASH
APPS
SVMK
BNFT
PDFS
GSKY
ADTN
SGH
CALX
AMSWA
KE
HCKT
GTT
ATEN
VPG
PD
NVEC
ARLO
CAMP
MOBL
EIGI
NPTN
IMXI
AOSL
PAYS
DOMO
AAOI
INS
DAKT
SSTI
RBBN
CASA
XELA
