NEE
SO
DUK
D
AEP
EXC
SRE
XEL
WEC
PEG
ED
ES
EIX
FE
PPL
ETR
AWK
DTE
AEE
CMS
EVRG
LNT
ATO
AES
CNP
WTR
PNW
NI
NRG
OGE
UGI
VST
MDU
IDA
POR
HE
BKH
OGS
ALE
SR
SWX
PNM
NJR
NWE
NFG
AWR
AVA
AGR
NEP
ORA
SJI
EE
MGEE
CWT
PEGI
NWN
OTTR
SJW
CWEN
CPK
MSEX
TERP
UTL
CWEN.A
YORW
WAAS
SGU
SPKE
CASH
