AMT
CCI
PLD
EQIX
SPG
PSA
WELL
EQR
AVB
SBAC
DLR
O
WY
BXP
VTR
ESS
CBRE
ARE
PEAK
INVH
MAA
WPC
SUI
EXR
UDR
DRE
HST
ELS
VNO
MPW
CPT
REG
VER
LPT
FRT
VICI
OHI
GLPI
NNN
IRM
JLL
KIM
STOR
KRC
LAMR
AIV
SLG
AMH
CONE
DEI
HTA
ACC
COLD
BRX
CUBE
CUZ
HPP
PK
EPR
FR
LSI
REXR
JBGS
HIW
EGP
HHC
SRC
HR
COR
OUT
RHP
SBRA
STAG
RYN
EQC
SVC
WRI
TRNO
NHI
MGP
DOC
PSB
OFC
APLE
PEB
QTS
ADC
SHO
PCH
PDM
KW
BDN
MAC
RPAI
RLJ
PGRE
CXP
WRE
AAT
UE
LXP
HASI
XHR
AKR
CLNY
ESRT
CTRE
CLI
NSA
EPRT
FCPT
DRH
ROIC
GEO
SITC
CXW
DHC
CWK
TCO
LTC
RDFN
NMRK
GNL
DEA
OPI
UHT
KRG
ALEX
ILPT
SKT
AFIN
SRG
MNR
IRT
UNIT
INN
RPT
RLGY
GTY
AHH
NXRT
STAR
IIPR
MMI
IRET
CHCT
FSP
CLDT
ALX
BFS
JOE
CIO
UBA
RMR
GOOD
RMAX
SNR
CORR
WPG
GMRE
UMH
APTS
RESI
RVI
CTT
HT
WSR
SAFE
FPH
JCAP
OLP
CPLG
FOR
TRC
FRPH
PEI
AHT
CDR
EXPI
BHR
CASH
ASPS
