,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
DSKE,0.4722102034759853,0.1924884568515594,-0.68,,9.351862258845347e-08,-0.16540264024916304,9.91501416430595
BLDR,5.284864043519923,0.09908166315203776,13.41,,1.4830904585122246e-07,0.13303152350138392,10.198300283286118
AAWW,0.3048690562181388,0.1806109088666902,1.88,,2.7980577888466673e-07,-0.086497666215441,10.48158640226629
NLSN,2.627226155515591,0.1105407334409704,-5.87,0.06910571549904117,5.103617660138086e-08,0.01355545660971218,10.764872521246458
CIR,1.672922577869278,0.0709266832906486,-5.53,,4.652247917792667e-06,0.019644483618612256,11.048158640226628
NX,1.807913730022285,0.1347336335534393,-12.68,0.018286465471822066,2.635564817701916e-07,0.09407546415486127,11.3314447592068
MRC,0.9315134341619815,0.12350209486577551,20.02,,9.295841398090855e-08,-0.08633705210441313,11.614730878186968
CFX,1.3106184834280599,0.08206084642677342,-11.1,,6.518963119161879e-07,-0.04695217198825516,11.89801699716714
ATRO,1.682074183523886,0.09054915267537088,9.42,,1.261704335450413e-06,0.08548919077063777,12.181303116147308
TBI,1.5065463798529757,0.13092084484845748,13.3,,1.15891918506381e-06,0.07014229159641953,12.464589235127479
SRCL,2.2762553171942193,0.0924225085112519,-13.2,,4.715021308206938e-07,0.057306196679752425,12.747875354107649
GBX,0.6699289188586405,0.17118144425839238,13.7,0.03982105422192458,-3.821061370356687e-07,-0.2982764603264021,13.031161473087819
TWI,0.6930376829767322,0.17671069179666773,-4.93,0.006397278712288662,7.669744664996409e-08,0.038674913593720446,13.314447592067987
JCI,1.632133401984549,0.064359888734055,69.95,0.02581674356011675,1.0752319800165954e-07,0.26055370736449485,13.59773371104816
BMCH,2.3751627797460033,0.103868765038194,18.06,,4.550374565270189e-07,0.06897146279107151,13.881019830028329
RECN,1.8622373277059867,0.11109689451700837,15.74,0.03549696163004611,7.804468630941078e-07,0.13298915062028568,14.164305949008499
AGX,1.6522338894991484,0.13166812217487486,-17.21,0.02424178854569141,6.003812039585134e-07,2.0143229557071747,14.44759206798867
BV,1.3729484876016376,0.09402544045398936,39.06,,2.582575500199839e-07,0.04147961557326259,14.730878186968837
UPWK,4.212122269565741,-0.0072364062253403895,-67.0,,3.043024883027674e-07,-0.016880249295391187,15.01416430594901
GNK,0.334247255829126,0.1760721487109105,-9.18,0.06177200809622067,5.302608784868969e-07,-0.015737957865862108,15.29745042492918
MATW,1.7025295842855495,0.10698452497416407,-32.73,0.02110530045865354,8.9722840716303e-07,0.03713646891041538,15.58073654390935
BLBD,-7.94856226389148,0.08202393295284742,22.28,,2.5937494442559283e-07,-0.2392361434016383,15.864022662889518
CASH,1.7005997437279083,0.0,14.81,0.005480147799820569,4.4180741990297076e-07,-0.04396037469708683,16.147308781869686
VSLR,3.709271888612192,-0.02041314167662896,-12.7,,-1.146161512291555e-07,-0.20706190338181685,16.43059490084986
FBM,2.272212032008514,0.10802612046043605,22.0,,3.4310514909789884e-07,0.0322062923063463,16.71388101983003
HSC,4.245924867706419,0.17614390290367446,-39.4,,2.6128159185739223e-07,0.0466996921101487,16.997167138810198
WNC,1.3956651071388004,0.16480391701510688,8.23,0.02814449305496298,7.869369746994944e-07,0.003756273435374259,17.280453257790366
AQUA,6.232368284244505,0.059323298276698834,-232.34,,2.728374084849689e-07,-0.04282443172003489,17.56373937677054
JBLU,1.253330543482629,0.22215968418465162,10.53,,0.0,-0.18443721106597785,17.847025495750707
KAR,2.0165214520544636,0.13576763647830975,12.67,0.059478337758516,1.7441020213617828e-07,-0.04962326675657232,18.13031161473088
MAN,2.186810559561023,0.15198576273521983,12.0,0.0224646689993363,4.303274098401604e-07,0.03955581297244419,18.413597733711047
