BA
UNP
HON
UTX
LMT
MMM
GE
UPS
CAT
RTN
NOC
CSX
ITW
NSC
WM
DE
LHX
EMR
GD
ETN
ROP
FDX
DAL
JCI
TDG
IR
INFO
LUV
PCAR
WCN
VRSK
PH
CMI
SWK
CTAS
CSGP
ROK
FTV
AME
RSG
CPRT
FAST
UAL
EFX
TRU
DOV
KSU
GWW
XYL
WAB
MAS
J
IEX
ODFL
TDY
EXPD
ALLE
URI
HII
ARNC
AAL
CHRW
TXT
JBHT
FBHS
SNA
CSL
NDSN
TTC
GGG
XPO
LII
ALK
ST
HUBB
ACM
NLSN
PNR
HEI.A
SPR
RHI
OC
WBC
HDS
DCI
WWD
GNRC
IAA
MIDD
FLS
HXL
ITT
AOS
BWXT
OSK
JBLU
CW
WSO
PWR
SRCL
MAN
TREX
LECO
ROL
ALSN
HEI
MSA
AL
AYI
EME
TTEK
AWI
KEX
AAXN
KNX
AGCO
GDI
CLH
BCO
LSTR
FCN
MRCY
CR
ROLL
NVT
TKR
MTZ
EXPO
SITE
ASGN
AJRD
NSP
JBT
RBC
RXN
SSD
UHAL
CFX
UNF
MIC
MSM
SKYW
VMI
ENS
B
BLDR
UFPI
UNVR
MOG.A
KAR
SAVE
KMT
WTS
BRC
R
GATX
PRLB
LYFT
FLR
ABM
ESE
TNET
AIT
ADSW
KFY
SAIA
MLHR
BECN
HI
GTLS
AIN
ALGT
TRN
FELE
SPXC
AIMC
CMPR
AAON
CAR
CWST
WCC
WMS
FSS
DLX
BMCH
WBT
DOOR
HCSG
FWRD
TRTN
CUB
ACA
FLOW
ATKR
MGRC
MWA
TEX
FIX
HUBG
AYR
CVA
MINI
AMWD
ROCK
MTOR
JELD
WERN
SCS
KTOS
ICFI
MATX
MLI
KAMN
HNI
AQUA
HURN
AIR
AVAV
EPAC
CBZ
TNC
REZI
VVI
HTZ
DY
HA
TRS
ECOL
ATSG
RUN
HSC
HLIO
KNL
KAI
CBPX
GVA
ALG
PLOW
NPO
PATK
RAVN
RUSHA
WIRE
MATW
PLUG
SNDR
CSWI
AZZ
GMS
NAV
MAXR
DNOW
TGI
LNN
PSN
WSC
MRC
VICR
ADT
PRIM
SXI
TILE
HRI
PGTI
SP
HEES
TBI
ASTE
ACCO
HTLD
KFRC
APOG
GFF
THR
GBX
EAF
CMCO
MRTN
KBAL
CIR
GTES
AEGN
ATRO
GRC
WNC
ARCB
PBI
AAWW
KELYA
BBSI
DXPE
CNR
NVEE
NX
ECHO
AGX
TPIC
BE
HSII
EBF
MTW
MYRG
UPWK
BV
RECN
FORR
CRAI
CAI
DCO
TPC
IIIN
TISI
NPK
HCCI
POWL
FBM
AMRC
NNBR
LDL
HY
VSLR
OFLX
WLDN
AMOT
ERII
SYX
ROAD
PKE
VSEC
REVG
BLBD
PKOH
TITN
MG
RRD
BGG
IESC
VRTV
RLGT
CASH
RUSHB
CVTI
GFN
CVEO
TWI
QUAD
ULH
GNK
EGLE
DSKE
USX
EVI
AFI
