Date,Account Ticker,Stock Ticker,Cusip,Security Description,Shares,Price,Market Value
9/4/15,KORU,,,MSCI S KOREA INDEX SWAP,69824,47.39,"3,308,959.36"
9/4/15,KORU,,,BANK OF NEW YORK CASH RESERVE,181173.99,1,"181,173.99"
9/4/15,KORU,,,DREYFUS TREAS PRIME CASH MGMT/INST,1500000.32,1,"1,500,000.32"
9/4/15,KORU,,,GOLDMAN FINL SQ TRSRY INST 506,1280008.39,1,"1,280,008.39"
9/4/15,TOTS,,,BANK OF NEW YORK CASH RESERVE,1478790.8,1,"1,478,790.80"
9/4/15,TOTS,,,MORGAN STANLEY ILF/TREAS/INST,300404.3,1,"300,404.30"
9/4/15,TOTS,,,DREYFUS TREAS PRIME CASH MGMT/INST,120000,1,"120,000.00"
9/4/15,TOTS,,,VANGUARD US TOTAL STOCK MKT SWAP,-12972,101.2,"-1,312,766.40"
9/4/15,TOTS,,,VANGUARD US TOTAL STOCK MKT SWAP,-6863,101.2,"-694,535.60"
9/4/15,VLML,APD,9158106,AIR PRODUCTS & CHEMICALS INC,701,139.6,"97,859.60"
9/4/15,VLML,MO,02209S103,ALTRIA GROUP INC,2001,53.59,"107,233.59"
9/4/15,VLML,AVY,53611109,AVERY DENNISON CORP,1911,58,"110,838.00"
9/4/15,VLML,BLK,09247X101,BLACKROCK INC,288,300.26,"86,474.88"
9/4/15,VLML,BX,09253U108,BLACKSTONE GROUP LP/THE,2459,33.48,"82,327.32"
9/4/15,VLML,BA,97023105,BOEING CO/THE,708,131.02,"92,762.16"
9/4/15,VLML,BKE,118440106,BUCKLE INC/THE,2183,40.61,"88,651.63"
9/4/15,VLML,CSCO,17275R102,CISCO SYSTEMS INC,3650,25.9,"94,535.00"
9/4/15,VLML,CXW,22025Y407,CORRECTIONS CORP OF AMERICA,2674,29.26,"78,241.24"
9/4/15,VLML,COST,22160K105,COSTCO WHOLESALE CORP,676,140.48,"94,964.48"
9/4/15,VLML,CBRL,22410J106,CRACKER BARREL OLD COUNTRY,698,146.44,"102,215.12"
