,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
RVI,0.7634532078377929,0.11493000994291885,7.4,0.03985229804403017,1.169824803695042e-06,0.14200114826454685,29.67032967032967
FRPH,1.392335222270032,0.018230343669692083,34.08,,7.564166680485817e-06,0.2522248244500092,30.21978021978022
VICI,1.843428403180557,0.05135677216955413,19.37,0.04595599543268415,1.5662441666531078e-07,0.07486859734858983,30.76923076923077
PEAK,3.159022749268006,0.04279210932872879,21.11,0.04158491120107761,1.435473840344872e-07,0.3765490850267501,31.318681318681318
VTR,2.138354837871032,0.05808062221773909,45.54,0.05684892486531486,1.70766997376213e-07,0.06573336220363743,31.868131868131865
WRI,2.614880551885271,0.060456951025624296,13.62,0.05280135469818899,4.068800815104521e-07,0.18980066881560023,32.417582417582416
OFC,2.195581616204439,0.054303436579338484,21.13,0.03698947420443395,1.5272314648222095e-07,0.029588273259483083,32.967032967032964
FSP,1.0094693411726732,0.08052851732915892,206.35,0.04783294263236145,2.2086302184006637e-07,0.07488612390198729,33.51648351648351
RESI,1.313736401033221,0.031605738106916255,-5.36,0.053651192522665,3.6462773419052165e-06,-0.25780545818856604,34.065934065934066
CTT,1.6753267530253884,0.02796459637156038,-4.32,0.053333692452263,7.283691913219748e-07,-0.27116316131674223,34.61538461538461
BDN,1.626319034796615,0.059755570427457015,21.14,0.04764268649499093,2.2409366405796383e-07,-0.06337941938975492,35.16483516483517
CDR,0.4501810533763623,0.09775303453248665,55.77,0.07767095296083681,3.347624530432667e-07,-0.09261507782859141,35.714285714285715
PDM,1.7202473704239394,0.06137784644310309,26.73,0.03790224340799985,3.4751693544512596e-07,0.09784482022580843,36.26373626373626
SBRA,1.407332767159335,0.06793199133121607,594.92,0.08147809331977533,2.4711791104192236e-07,0.09641997062537497,36.81318681318682
ILPT,1.5072574742056395,0.060929400367063756,26.06,0.05980852117316388,9.187136858529236e-07,0.6781326420404128,37.362637362637365
RPAI,1.6372682772025757,0.06603808261337493,99.62,0.05177394676869348,1.7905459924943973e-07,0.05536410658362317,37.91208791208791
SPG,13.382827816369984,0.03493787232319266,20.79,0.060730151510472,1.3711098097707193e-07,0.02874350098471345,38.46153846153847
ALEX,1.3667927154958543,0.10570721544096853,-8.96,0.0233472910394645,9.637564011997428e-07,0.5214804528666355,39.010989010989015
CIO,1.8859736878932847,0.05245218498567428,-37.48,0.07001105969026375,7.278266465931696e-07,-0.21443225150439096,39.56043956043956
MPW,2.6129204265371175,0.04809658624501784,29.04,0.04563621396033284,1.7693124454091042e-07,0.25265641211567946,40.10989010989011
SRG,1.8551688453036639,0.04116635771210425,-14.96,0.00652791710614194,-3.2857030228055032e-06,-0.14662307311980013,40.65934065934066
CLDT,1.0437293585252478,0.07853277252058005,40.52,0.07876623889122839,5.299346532706089e-07,-0.11584156388271145,41.208791208791204
ROIC,1.67845798766433,0.05420180303409207,41.62,0.04697938781032945,3.489732987442632e-07,0.019157299696543426,41.75824175824176
RPT,1.4992924627225004,0.0753440919399117,156.15,0.06092859545306956,4.178090050907644e-07,0.04630399414797601,42.30769230769231
TRC,1.054730302473589,0.01426511578104276,365.67,,8.628320705093585e-06,-0.02838698463399229,42.857142857142854
RDFN,6.320194958954178,-0.017339835504386204,-26.94,,2.011101310376932e-06,-0.7241773663181312,43.40659340659341
VNO,2.869738972514869,0.05046837747841711,4.4,0.0412033054657232,6.394726471633091e-07,0.006558948120247537,43.956043956043956
SLG,1.339820824609514,0.1106094941456079,30.43,0.03800895883297879,0.0,-0.061447283163461826,44.505494505494504
PGRE,0.806113568222709,0.06447291786399974,186.77,0.029030681570945,1.4050091408861047e-07,0.0005528637659808693,45.05494505494506
JCAP,0.875868262573825,0.1160139779595522,10.5,0.07101134407608718,-6.4768201336580155e-06,-0.7964320277142032,45.604395604395606
UE,2.650567689035671,0.052702543969416295,20.44,0.04602571715117111,5.321304793499369e-07,-0.004989377716632549,46.15384615384615
MNR,1.471552652402793,0.04148423535979039,146.6,0.04728548863007486,5.883384026654202e-07,0.06436883333554297,46.7032967032967
IRM,5.006115540710955,0.08493141443147934,27.49,0.0805396847440495,1.422240071054156e-07,-0.13097923068728254,47.25274725274725
CBRE,4.275900236044047,0.07041878819701872,20.53,,8.07492886076628e-07,-0.12627154767213766,47.8021978021978
MGP,2.5043405056679178,0.0897103084067884,33.72,0.0604548546482011,1.984326689562136e-07,-0.12917593437428404,48.35164835164835
NSA,2.3468937588413774,0.025622355246403813,-77.16,0.03661191378332369,6.388322090808977e-07,-0.23236792326934505,48.9010989010989
ACC,1.926512816442897,0.04607619553639006,62.4,0.04016867228852389,3.574104151250855e-07,-0.019320896495697855,49.45054945054945
EPR,2.0710210444902257,0.07250120891644743,28.48,0.06386809639945866,5.741012984975133e-07,-0.03291632224069311,50.0
HTA,2.076742658230288,0.02867310175285442,181.79,0.039360838030913364,3.541787879505699e-07,0.11892254838832288,50.54945054945055
WRE,2.3470878560163535,0.054930200297694326,-578.9,0.04103871334617592,9.814025613518822e-07,-0.08498060803453018,51.098901098901095
OUT,4.0787882125534844,0.07104463867875943,28.64,0.049194367826201325,3.902950275594688e-07,-0.029596513984570815,51.64835164835166
NMRK,3.196008610654792,0.11204303032556513,16.2,0.03216595259333611,6.560491894533704e-08,-0.1544813764887031,52.197802197802204
REG,1.720718263477576,0.05399337997654241,39.07,0.0367438947331973,3.512463882359582e-07,0.0031280696184454917,52.74725274725275
DOC,1.5633428849863453,0.05313135201097834,85.3,0.04931672362324598,4.399165518008133e-07,-0.040679838196962956,53.2967032967033
JOE,2.524682360022418,0.030225137150393423,72.2,,8.550991580717051e-06,-0.029827336946701904,53.84615384615385
LTC,2.364755836964475,0.058881002457032414,19.52,0.0499579089890164,1.6072688879722383e-06,0.03300542281736102,54.395604395604394
STAG,3.1537633684440394,0.04021466789807382,,0.04446951007731868,4.895057481291172e-07,-0.13431802869337844,54.94505494505495
INVH,2.047607616021902,0.037873111279853516,696.25,0.016401770801659492,1.5078791458013122e-07,0.05822168099395136,55.494505494505496
MMI,3.5688347946990895,0.13475682891381496,17.87,,1.964526298013858e-06,-0.07127293048400232,56.043956043956044
